,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
285,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
286,construction_tools_construction,construction_tools_construction,construction_tools_construction,construction_tools_construction,construction_tools_construction,construction_tools_construction,,,,,,,,,,,,,,,,,,
287,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,
289,auto,auto,,,,,,,,,,,,,,,,,,,,,,
290,auto,auto,,,,,,,,,,,,,,,,,,,,,,
291,garden_tools,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
292,auto,auto,,,,,,,,,,,,,,,,,,,,,,
293,consoles_games,consoles_games,,,,,,,,,,,,,,,,,,,,,,
294,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
295,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,
296,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
297,auto,auto,,,,,,,,,,,,,,,,,,,,,,
298,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
299,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
300,office_furniture,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,,,
301,sports_leisure,fashion_bags_accessories,,,,,,,,,,,,,,,,,,,,,,
302,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
303,perfumery,perfumery,,,,,,,,,,,,,,,,,,,,,,
304,home_appliances,home_appliances,home_appliances,,,,,,,,,,,,,,,,,,,,,
305,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
306,pet_shop,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,
307,toys,toys,,,,,,,,,,,,,,,,,,,,,,
308,computers_accessories,computers_accessories,computers_accessories,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,
309,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
310,auto,auto,,,,,,,,,,,,,,,,,,,,,,
311,home_appliances,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
312,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
313,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
314,sports_leisure,sports_leisure,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,
315,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
316,cool_stuff,cool_stuff,,,,,,,,,,,,,,,,,,,,,,
317,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
318,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
319,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
320,food,food,,,,,,,,,,,,,,,,,,,,,,
321,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,
322,office_furniture,office_furniture,office_furniture,office_furniture,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,
323,watches_gifts,construction_tools_construction,construction_tools_construction,construction_tools_construction,construction_tools_construction,construction_tools_construction,construction_tools_construction,,,,,,,,,,,,,,,,,
